highest,monthYear,age,count
Community,2013-05-01,55-64,232
Community,2013-05-01,<15,28
Community,2013-05-01,>65,100
Community,2013-05-01,NA,4
Community,2013-06-01,15-24,350
Community,2013-06-01,25-34,614
Community,2013-06-01,35-44,313
Community,2013-06-01,45-54,181
Community,2013-06-01,55-64,101
Community,2013-06-01,<15,17
Community,2013-06-01,>65,42
Community,2013-06-01,NA,6
Community,2013-07-01,15-24,62
Community,2013-07-01,25-34,80
Community,2013-07-01,35-44,59
Community,2013-07-01,45-54,26
Community,2013-07-01,55-64,10
Community,2013-07-01,<15,2
Community,2013-08-01,15-24,88
Community,2013-08-01,25-34,124
Community,2013-08-01,35-44,53
Community,2013-08-01,45-54,24
Community,2013-08-01,55-64,15
Community,2013-08-01,<15,9
Community,2013-08-01,>65,6
Community,2013-09-01,15-24,181
Community,2013-09-01,25-34,137
Community,2013-09-01,35-44,69
Community,2013-09-01,45-54,35
Community,2013-09-01,55-64,15
Community,2013-09-01,<15,17
Community,2013-09-01,>65,12
Community,2013-10-01,15-24,204
Community,2013-10-01,25-34,120
Community,2013-10-01,35-44,72
Community,2013-10-01,45-54,37
Community,2013-10-01,55-64,16
Community,2013-10-01,<15,35
Community,2013-10-01,>65,10
Community,2013-11-01,15-24,244
Community,2013-11-01,25-34,174
Community,2013-11-01,35-44,117
Community,2013-11-01,45-54,87
Community,2013-11-01,55-64,36
Community,2013-11-01,<15,19
Community,2013-11-01,>65,19
Community,2013-12-01,15-24,82
Community,2013-12-01,25-34,62
Community,2013-12-01,35-44,41
Community,2013-12-01,45-54,19
Community,2013-12-01,55-64,8
Community,2013-12-01,<15,5
Community,2013-12-01,>65,7
Community,2014-01-01,15-24,248
Community,2014-01-01,25-34,307
Community,2014-01-01,35-44,176
Community,2014-01-01,45-54,119
Community,2014-01-01,55-64,78
Community,2014-01-01,<15,26
Community,2014-01-01,>65,43
Community,2014-02-01,15-24,212
Community,2014-02-01,25-34,138
Community,2014-02-01,35-44,69
Community,2014-02-01,45-54,43
Community,2014-02-01,55-64,20
Community,2014-02-01,<15,22
Community,2014-02-01,>65,7
Community,2014-03-01,15-24,204
Community,2014-03-01,25-34,163
Community,2014-03-01,35-44,71
Community,2014-03-01,45-54,60
Community,2014-03-01,55-64,23
Community,2014-03-01,<15,28
Community,2014-03-01,>65,10
Community,2014-04-01,15-24,150
Community,2014-04-01,25-34,147
Community,2014-04-01,35-44,85
Community,2014-04-01,45-54,40
Community,2014-04-01,55-64,39
Community,2014-04-01,<15,41
Community,2014-04-01,>65,13
Community,2014-05-01,15-24,301
Community,2014-05-01,25-34,425
Community,2014-05-01,35-44,189
Community,2014-05-01,45-54,124
Community,2014-05-01,55-64,71
Community,2014-05-01,<15,25
Community,2014-05-01,>65,24
Community,2014-06-01,15-24,130
Community,2014-06-01,25-34,154
Community,2014-06-01,35-44,92
Community,2014-06-01,45-54,51
Community,2014-06-01,55-64,35
Community,2014-06-01,<15,18
Community,2014-06-01,>65,11
Community,2014-07-01,15-24,116
Community,2014-07-01,25-34,111
Community,2014-07-01,35-44,64
Community,2014-07-01,45-54,47
Community,2014-07-01,55-64,25
Community,2014-07-01,<15,9
Community,2014-07-01,>65,7
Community,2014-08-01,15-24,311
Community,2014-08-01,25-34,532
Community,2014-08-01,35-44,314
Community,2014-08-01,45-54,172
Community,2014-08-01,55-64,103
Community,2014-08-01,<15,15
Community,2014-08-01,>65,38
Community,2014-09-01,15-24,173
Community,2014-09-01,25-34,94
Community,2014-09-01,35-44,50
Community,2014-09-01,45-54,30
Community,2014-09-01,55-64,17
Community,2014-09-01,<15,14
Community,2014-09-01,>65,13
Community,2014-10-01,15-24,194
Community,2014-10-01,25-34,140
Community,2014-10-01,35-44,74
Community,2014-10-01,45-54,69
Community,2014-10-01,55-64,20
Community,2014-10-01,<15,35
Community,2014-10-01,>65,11
Community,2014-11-01,15-24,150
Community,2014-11-01,25-34,94
Community,2014-11-01,35-44,46
Community,2014-11-01,45-54,41
Community,2014-11-01,55-64,16
Community,2014-11-01,<15,8
Community,2014-11-01,>65,3
Community,2014-12-01,15-24,126
Community,2014-12-01,25-34,86
Community,2014-12-01,35-44,41
Community,2014-12-01,45-54,16
Community,2014-12-01,55-64,16
Community,2014-12-01,<15,11
Community,2014-12-01,>65,5
Community,2015-01-01,15-24,132
Community,2015-01-01,25-34,99
Community,2015-01-01,35-44,58
Community,2015-01-01,45-54,25
Community,2015-01-01,55-64,21
Community,2015-01-01,<15,18
Community,2015-01-01,>65,12
Community,2015-02-01,15-24,182
Community,2015-02-01,25-34,88
Community,2015-02-01,35-44,49
Community,2015-02-01,45-54,35
Community,2015-02-01,55-64,13
Community,2015-02-01,<15,30
Community,2015-02-01,>65,8
Community,2015-03-01,15-24,251
Community,2015-03-01,25-34,166
Community,2015-03-01,35-44,70
Community,2015-03-01,45-54,29
Community,2015-03-01,55-64,16
Community,2015-03-01,<15,35
Community,2015-03-01,>65,4
Community,2015-04-01,15-24,122
Community,2015-04-01,25-34,85
Community,2015-04-01,35-44,33
Community,2015-04-01,45-54,29
Community,2015-04-01,55-64,7
Community,2015-04-01,<15,43
Community,2015-04-01,>65,5
Community,2015-05-01,15-24,129
Community,2015-05-01,25-34,82
Community,2015-05-01,35-44,43
Community,2015-05-01,45-54,31
Community,2015-05-01,55-64,21
Community,2015-05-01,<15,20
Community,2015-05-01,>65,4
Community,2015-06-01,15-24,122
Community,2015-06-01,25-34,161
Community,2015-06-01,35-44,107
Community,2015-06-01,45-54,72
Community,2015-06-01,55-64,41
Community,2015-06-01,<15,12
Community,2015-06-01,>65,18
Community,2015-07-01,15-24,119
Community,2015-07-01,25-34,55
Community,2015-07-01,35-44,49
Community,2015-07-01,45-54,26
Community,2015-07-01,55-64,15
Community,2015-07-01,<15,7
Community,2015-07-01,>65,7
Community,2015-08-01,15-24,74
Community,2015-08-01,25-34,56
Community,2015-08-01,35-44,23
Community,2015-08-01,45-54,13
Community,2015-08-01,55-64,4
Community,2015-08-01,<15,8
Community,2015-08-01,>65,2
Community,2015-09-01,15-24,146
Community,2015-09-01,25-34,53
Community,2015-09-01,35-44,33
Community,2015-09-01,45-54,22
Community,2015-09-01,55-64,7
Community,2015-09-01,<15,12
Community,2015-09-01,>65,5
Community,2015-10-01,15-24,197
Community,2015-10-01,25-34,108
Community,2015-10-01,35-44,79
Community,2015-10-01,45-54,38
Community,2015-10-01,55-64,28
Community,2015-10-01,<15,12
Community,2015-10-01,>65,11
Community,2015-11-01,15-24,394
Community,2015-11-01,25-34,204
Community,2015-11-01,35-44,73
Community,2015-11-01,45-54,28
Community,2015-11-01,55-64,17
Community,2015-11-01,<15,22
Community,2015-11-01,>65,14
Community,2015-12-01,15-24,71
Community,2015-12-01,25-34,41
Community,2015-12-01,35-44,20
Community,2015-12-01,45-54,18
Community,2015-12-01,55-64,7
Community,2015-12-01,<15,3
Education,2011-05-01,15-24,275
Education,2011-05-01,25-34,658
Education,2011-05-01,35-44,405
Education,2011-05-01,45-54,235
Education,2011-05-01,55-64,113
Education,2011-05-01,>65,37
Education,2011-05-01,NA,1
Education,2011-06-01,15-24,68
Education,2011-06-01,25-34,170
Education,2011-06-01,35-44,98
Education,2011-06-01,45-54,68
Education,2011-06-01,55-64,41
Education,2011-06-01,>65,17
Education,2011-06-01,NA,1
Education,2011-07-01,15-24,17
Education,2011-07-01,25-34,32
Education,2011-07-01,35-44,20
Education,2011-07-01,45-54,23
Education,2011-07-01,55-64,6
Education,2011-07-01,>65,2
Education,2011-08-01,15-24,18
Education,2011-08-01,25-34,23
Education,2011-08-01,35-44,12
Education,2011-08-01,45-54,11
Education,2011-08-01,55-64,3
Education,2011-08-01,>65,2
Education,2011-09-01,15-24,23
Education,2011-09-01,25-34,31
Education,2011-09-01,35-44,25
Education,2011-09-01,45-54,8
Education,2011-09-01,55-64,5
Education,2011-09-01,NA,5
Education,2011-10-01,15-24,59
Education,2011-10-01,25-34,74
Education,2011-10-01,35-44,42
Education,2011-10-01,45-54,44
Education,2011-10-01,55-64,18
Education,2011-10-01,>65,9
Education,2011-10-01,NA,2
Education,2011-11-01,15-24,73
Education,2011-11-01,25-34,54
Education,2011-11-01,35-44,45
Education,2011-11-01,45-54,26
Education,2011-11-01,55-64,17
Education,2011-11-01,>65,8
Education,2011-11-01,NA,2
Education,2011-12-01,15-24,47
Education,2011-12-01,25-34,40
Education,2011-12-01,35-44,30
Education,2011-12-01,45-54,9
Education,2011-12-01,55-64,8
Education,2011-12-01,>65,2
Education,2011-12-01,NA,2
Education,2012-01-01,15-24,44
Education,2012-01-01,25-34,81
Education,2012-01-01,35-44,47
Education,2012-01-01,45-54,30
Education,2012-01-01,55-64,19
Education,2012-01-01,>65,5
Education,2012-02-01,15-24,32
Education,2012-02-01,25-34,52
Education,2012-02-01,35-44,33
Education,2012-02-01,45-54,18
Education,2012-02-01,55-64,13
Education,2012-02-01,>65,4
Education,2012-02-01,NA,2
Education,2012-03-01,15-24,55
Education,2012-03-01,25-34,39
Education,2012-03-01,35-44,27
Education,2012-03-01,45-54,7
Education,2012-03-01,55-64,3
Education,2012-03-01,>65,3
Education,2012-04-01,15-24,22
Education,2012-04-01,25-34,28
Education,2012-04-01,35-44,24
Education,2012-04-01,45-54,14
Education,2012-04-01,55-64,4
Education,2012-04-01,>65,2
Education,2012-04-01,NA,2
Education,2012-05-01,15-24,440
Education,2012-05-01,25-34,794
Education,2012-05-01,35-44,489
Education,2012-05-01,45-54,290
Education,2012-05-01,55-64,195
Education,2012-05-01,<15,12
Education,2012-05-01,>65,66
Education,2012-05-01,NA,8
Education,2012-06-01,15-24,201
Education,2012-06-01,25-34,307
Education,2012-06-01,35-44,174
Education,2012-06-01,45-54,105
Education,2012-06-01,55-64,83
Education,2012-06-01,<15,24
Education,2012-06-01,>65,32
Education,2012-06-01,NA,3
Education,2012-07-01,15-24,121
Education,2012-07-01,25-34,174
Education,2012-07-01,35-44,88
Education,2012-07-01,45-54,42
Education,2012-07-01,55-64,18
Education,2012-07-01,<15,4
Education,2012-07-01,>65,17
Education,2012-07-01,NA,3
Education,2012-08-01,15-24,231
Education,2012-08-01,25-34,137
Education,2012-08-01,35-44,80
Education,2012-08-01,45-54,52
Education,2012-08-01,55-64,18
Education,2012-08-01,<15,8
Education,2012-08-01,>65,10
Education,2012-08-01,NA,1
Education,2012-09-01,15-24,203
Education,2012-09-01,25-34,133
Education,2012-09-01,35-44,92
Education,2012-09-01,45-54,47
Education,2012-09-01,55-64,17
Education,2012-09-01,<15,12
Education,2012-09-01,>65,5
Education,2012-09-01,NA,4
Education,2012-10-01,15-24,275
Education,2012-10-01,25-34,140
Education,2012-10-01,35-44,88
Education,2012-10-01,45-54,53
Education,2012-10-01,55-64,24
Education,2012-10-01,<15,11
Education,2012-10-01,>65,12
Education,2012-11-01,15-24,222
Education,2012-11-01,25-34,131
Education,2012-11-01,35-44,83
Education,2012-11-01,45-54,62
Education,2012-11-01,55-64,17
Education,2012-11-01,<15,11
Education,2012-11-01,>65,12
Education,2012-11-01,NA,2
Education,2012-12-01,15-24,169
Education,2012-12-01,25-34,115
Education,2012-12-01,35-44,56
Education,2012-12-01,45-54,44
Education,2012-12-01,55-64,32
Education,2012-12-01,<15,11
Education,2012-12-01,>65,10
Education,2012-12-01,NA,1
Education,2013-01-01,15-24,141
Education,2013-01-01,25-34,128
Education,2013-01-01,35-44,74
Education,2013-01-01,45-54,43
Education,2013-01-01,55-64,31
Education,2013-01-01,<15,6
Education,2013-01-01,>65,10
Education,2013-01-01,NA,5
Education,2013-02-01,15-24,139
Education,2013-02-01,25-34,108
Education,2013-02-01,35-44,71
Education,2013-02-01,45-54,41
Education,2013-02-01,55-64,16
Education,2013-02-01,<15,13
Education,2013-02-01,>65,9
Education,2013-02-01,NA,8
Education,2013-03-01,15-24,246
Education,2013-03-01,25-34,164
Education,2013-03-01,35-44,96
Education,2013-03-01,45-54,60
Education,2013-03-01,55-64,34
Education,2013-03-01,<15,6
Education,2013-03-01,>65,9
Education,2013-03-01,NA,8
Education,2013-04-01,15-24,141
Education,2013-04-01,25-34,121
Education,2013-04-01,35-44,65
Education,2013-04-01,45-54,45
Education,2013-04-01,55-64,20
Education,2013-04-01,<15,6
Education,2013-04-01,>65,7
Education,2013-04-01,NA,4
Education,2013-05-01,15-24,1049
Education,2013-05-01,25-34,2120
Education,2013-05-01,35-44,1362
Education,2013-05-01,45-54,825
Education,2013-05-01,55-64,443
Education,2013-05-01,<15,46
Education,2013-05-01,>65,167
Education,2013-05-01,NA,14
Education,2013-06-01,15-24,547
Education,2013-06-01,25-34,977
Education,2013-06-01,35-44,648
Education,2013-06-01,45-54,338
Education,2013-06-01,55-64,185
Education,2013-06-01,<15,25
Education,2013-06-01,>65,61
Education,2013-06-01,NA,9
Education,2013-07-01,15-24,96
Education,2013-07-01,25-34,121
Education,2013-07-01,35-44,82
Education,2013-07-01,45-54,53
Education,2013-07-01,55-64,19
Education,2013-07-01,<15,4
Education,2013-07-01,>65,5
Education,2013-07-01,NA,2
Education,2013-08-01,15-24,172
Education,2013-08-01,25-34,180
Education,2013-08-01,35-44,81
Education,2013-08-01,45-54,39
Education,2013-08-01,55-64,28
Education,2013-08-01,<15,15
Education,2013-08-01,>65,10
Education,2013-09-01,15-24,316
Education,2013-09-01,25-34,224
Education,2013-09-01,35-44,113
Education,2013-09-01,45-54,63
Education,2013-09-01,55-64,23
Education,2013-09-01,<15,29
Education,2013-09-01,>65,14
Education,2013-10-01,15-24,345
Education,2013-10-01,25-34,209
Education,2013-10-01,35-44,142
Education,2013-10-01,45-54,74
Education,2013-10-01,55-64,40
Education,2013-10-01,<15,51
Education,2013-10-01,>65,13
Education,2013-11-01,15-24,333
Education,2013-11-01,25-34,278
Education,2013-11-01,35-44,243
Education,2013-11-01,45-54,156
Education,2013-11-01,55-64,81
Education,2013-11-01,<15,32
Education,2013-11-01,>65,39
Education,2013-12-01,15-24,137
Education,2013-12-01,25-34,102
Education,2013-12-01,35-44,74
Education,2013-12-01,45-54,43
Education,2013-12-01,55-64,19
Education,2013-12-01,<15,7
Education,2013-12-01,>65,9
Education,2014-01-01,15-24,451
Education,2014-01-01,25-34,588
Education,2014-01-01,35-44,378
Education,2014-01-01,45-54,275
Education,2014-01-01,55-64,185
Education,2014-01-01,<15,27
Education,2014-01-01,>65,108
Education,2014-02-01,15-24,378
Education,2014-02-01,25-34,200
Education,2014-02-01,35-44,120
Education,2014-02-01,45-54,82
Education,2014-02-01,55-64,39
Education,2014-02-01,<15,38
Education,2014-02-01,>65,17
Education,2014-03-01,15-24,336
Education,2014-03-01,25-34,285
Education,2014-03-01,35-44,146
Education,2014-03-01,45-54,99
Education,2014-03-01,55-64,45
Education,2014-03-01,<15,35
Education,2014-03-01,>65,13
Education,2014-04-01,15-24,310
Education,2014-04-01,25-34,231
Education,2014-04-01,35-44,169
Education,2014-04-01,45-54,100
Education,2014-04-01,55-64,58
Education,2014-04-01,<15,88
Education,2014-04-01,>65,22
Education,2014-05-01,15-24,528
Education,2014-05-01,25-34,779
Education,2014-05-01,35-44,421
Education,2014-05-01,45-54,239
Education,2014-05-01,55-64,133
Education,2014-05-01,<15,59
Education,2014-05-01,>65,54
Education,2014-06-01,15-24,253
Education,2014-06-01,25-34,325
Education,2014-06-01,35-44,219
Education,2014-06-01,45-54,132
Education,2014-06-01,55-64,70
Education,2014-06-01,<15,35
Education,2014-06-01,>65,35
Education,2014-07-01,15-24,198
Education,2014-07-01,25-34,210
Education,2014-07-01,35-44,124
Education,2014-07-01,45-54,74
Education,2014-07-01,55-64,38
Education,2014-07-01,<15,14
Education,2014-07-01,>65,12
Education,2014-08-01,15-24,585
Education,2014-08-01,25-34,1053
Education,2014-08-01,35-44,622
Education,2014-08-01,45-54,289
Education,2014-08-01,55-64,172
Education,2014-08-01,<15,28
Education,2014-08-01,>65,71
Education,2014-09-01,15-24,320
Education,2014-09-01,25-34,171
Education,2014-09-01,35-44,109
Education,2014-09-01,45-54,49
Education,2014-09-01,55-64,37
Education,2014-09-01,<15,31
Education,2014-09-01,>65,14
Education,2014-10-01,15-24,349
Education,2014-10-01,25-34,241
Education,2014-10-01,35-44,152
Education,2014-10-01,45-54,90
Education,2014-10-01,55-64,41
Education,2014-10-01,<15,45
Education,2014-10-01,>65,19
Education,2014-11-01,15-24,268
Education,2014-11-01,25-34,163
Education,2014-11-01,35-44,74
Education,2014-11-01,45-54,69
Education,2014-11-01,55-64,28
Education,2014-11-01,<15,20
Education,2014-11-01,>65,9
Education,2014-12-01,15-24,215
Education,2014-12-01,25-34,154
Education,2014-12-01,35-44,86
Education,2014-12-01,45-54,41
Education,2014-12-01,55-64,28
Education,2014-12-01,<15,14
Education,2014-12-01,>65,8
Education,2015-01-01,15-24,286
Education,2015-01-01,25-34,178
Education,2015-01-01,35-44,119
Education,2015-01-01,45-54,55
Education,2015-01-01,55-64,46
Education,2015-01-01,<15,31
Education,2015-01-01,>65,16
Education,2015-02-01,15-24,381
Education,2015-02-01,25-34,147
Education,2015-02-01,35-44,91
Education,2015-02-01,45-54,65
Education,2015-02-01,55-64,21
Education,2015-02-01,<15,71
Education,2015-02-01,>65,14
Education,2015-03-01,15-24,593
Education,2015-03-01,25-34,425
Education,2015-03-01,35-44,203
Education,2015-03-01,45-54,82
Education,2015-03-01,55-64,27
Education,2015-03-01,<15,80
Education,2015-03-01,>65,12
Education,2015-04-01,15-24,251
Education,2015-04-01,25-34,161
Education,2015-04-01,35-44,76
Education,2015-04-01,45-54,43
Education,2015-04-01,55-64,26
Education,2015-04-01,<15,64
Education,2015-04-01,>65,9
Education,2015-05-01,15-24,245
Education,2015-05-01,25-34,175
Education,2015-05-01,35-44,114
Education,2015-05-01,45-54,67
Education,2015-05-01,55-64,49
Education,2015-05-01,<15,26
Education,2015-05-01,>65,11
Education,2015-06-01,15-24,239
Education,2015-06-01,25-34,326
Education,2015-06-01,35-44,255
Education,2015-06-01,45-54,156
Education,2015-06-01,55-64,100
Education,2015-06-01,<15,23
Education,2015-06-01,>65,42
Education,2015-07-01,15-24,188
Education,2015-07-01,25-34,105
Education,2015-07-01,35-44,87
Education,2015-07-01,45-54,51
Education,2015-07-01,55-64,27
Education,2015-07-01,<15,21
Education,2015-07-01,>65,14
Education,2015-08-01,15-24,133
Education,2015-08-01,25-34,93
Education,2015-08-01,35-44,56
Education,2015-08-01,45-54,35
Education,2015-08-01,55-64,16
Education,2015-08-01,<15,16
Education,2015-08-01,>65,5
Education,2015-09-01,15-24,296
Education,2015-09-01,25-34,105
Education,2015-09-01,35-44,63
Education,2015-09-01,45-54,50
Education,2015-09-01,55-64,14
Education,2015-09-01,<15,46
Education,2015-09-01,>65,6
Education,2015-10-01,15-24,332
Education,2015-10-01,25-34,186
Education,2015-10-01,35-44,141
Education,2015-10-01,45-54,87
Education,2015-10-01,55-64,45
Education,2015-10-01,<15,23
Education,2015-10-01,>65,19
Education,2015-11-01,15-24,504
Education,2015-11-01,25-34,284
Education,2015-11-01,35-44,135
Education,2015-11-01,45-54,58
Education,2015-11-01,55-64,27
Education,2015-11-01,<15,33
Education,2015-11-01,>65,24
Education,2015-12-01,15-24,105
Education,2015-12-01,25-34,64
Education,2015-12-01,35-44,39
Education,2015-12-01,45-54,32
Education,2015-12-01,55-64,10
Education,2015-12-01,<15,9
Education,2015-12-01,>65,1
Environment,2011-05-01,15-24,211
Environment,2011-05-01,25-34,588
Environment,2011-05-01,35-44,383
Environment,2011-05-01,45-54,211
Environment,2011-05-01,55-64,110
Environment,2011-05-01,>65,37
Environment,2011-05-01,NA,1
Environment,2011-06-01,15-24,55
Environment,2011-06-01,25-34,164
Environment,2011-06-01,35-44,94
Environment,2011-06-01,45-54,65
Environment,2011-06-01,55-64,48
Environment,2011-06-01,>65,19
Environment,2011-06-01,NA,1
Environment,2011-07-01,15-24,11
Environment,2011-07-01,25-34,22
Environment,2011-07-01,35-44,22
Environment,2011-07-01,45-54,20
Environment,2011-07-01,55-64,3
Environment,2011-07-01,>65,3
Environment,2011-08-01,15-24,12
Environment,2011-08-01,25-34,18
Environment,2011-08-01,35-44,9
Environment,2011-08-01,45-54,8
Environment,2011-08-01,55-64,2
Environment,2011-08-01,>65,1
Environment,2011-09-01,15-24,17
Environment,2011-09-01,25-34,24
Environment,2011-09-01,35-44,17
Environment,2011-09-01,45-54,15
Environment,2011-09-01,55-64,5
Environment,2011-09-01,NA,1
Environment,2011-10-01,15-24,31
Environment,2011-10-01,25-34,60
Environment,2011-10-01,35-44,39
Environment,2011-10-01,45-54,33
Environment,2011-10-01,55-64,13
Environment,2011-10-01,>65,4
Environment,2011-10-01,NA,2
Environment,2011-11-01,15-24,47
Environment,2011-11-01,25-34,53
Environment,2011-11-01,35-44,31
Environment,2011-11-01,45-54,20
Environment,2011-11-01,55-64,17
Environment,2011-11-01,>65,5
Environment,2011-11-01,NA,2
Environment,2011-12-01,15-24,26
Environment,2011-12-01,25-34,30
Environment,2011-12-01,35-44,28
Environment,2011-12-01,45-54,9
Environment,2011-12-01,55-64,6
Environment,2011-12-01,>65,2
Environment,2011-12-01,NA,1
Environment,2012-01-01,15-24,31
Environment,2012-01-01,25-34,64
Environment,2012-01-01,35-44,37
Environment,2012-01-01,45-54,23
Environment,2012-01-01,55-64,26
Environment,2012-01-01,>65,6
Environment,2012-02-01,15-24,20
Environment,2012-02-01,25-34,35
Environment,2012-02-01,35-44,27
Environment,2012-02-01,45-54,14
Environment,2012-02-01,55-64,10
Environment,2012-02-01,>65,4
Environment,2012-03-01,15-24,30
Environment,2012-03-01,25-34,44
Environment,2012-03-01,35-44,17
Environment,2012-03-01,45-54,10
Environment,2012-03-01,55-64,2
Environment,2012-03-01,>65,4
Environment,2012-04-01,15-24,20
Environment,2012-04-01,25-34,30
Environment,2012-04-01,35-44,22
Environment,2012-04-01,45-54,10
Environment,2012-04-01,55-64,9
Environment,2012-04-01,>65,1
Environment,2012-04-01,NA,1
Environment,2012-05-01,15-24,297
Environment,2012-05-01,25-34,686
Environment,2012-05-01,35-44,449
Environment,2012-05-01,45-54,264
Environment,2012-05-01,55-64,162
Environment,2012-05-01,<15,11
Environment,2012-05-01,>65,57
Environment,2012-05-01,NA,7
Environment,2012-06-01,15-24,147
Environment,2012-06-01,25-34,258
Environment,2012-06-01,35-44,152
Environment,2012-06-01,45-54,92
Environment,2012-06-01,55-64,69
Environment,2012-06-01,<15,17
Environment,2012-06-01,>65,23
